SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,5000.0,True,210,2014-08-13,2014-01-15,5000.0
GroupLoan,Incoming,5000.0,True,196,2014-08-13,2014-01-29,10000.0
Independent,Incoming,110000.0,True,172,2014-11-06,2014-05-18,120000.0
GroupLoan,Incoming,5000.0,True,83,2014-09-04,2014-06-13,125000.0
GroupLoan,Incoming,10000.0,True,76,2014-09-04,2014-06-20,135000.0
GroupLoan,Incoming,10000.0,True,48,2014-09-04,2014-07-18,145000.0
GroupLoan,Incoming,10000.0,True,27,2014-09-04,2014-08-08,155000.0
GroupLoan,Incoming,10000.0,True,20,2014-09-04,2014-08-15,165000.0
GroupLoan,Incoming,10000.0,True,13,2014-09-04,2014-08-22,175000.0
GroupLoan,Incoming,10000.0,True,27,2014-10-02,2014-09-05,185000.0
GroupLoan,Incoming,10000.0,True,20,2014-10-02,2014-09-12,195000.0
GroupLoan,Incoming,5000.0,True,6,2014-10-02,2014-09-26,200000.0
Independent,Outgoing,200000.0,True,64,2015-01-09,2014-11-06,0.0
Independent,Outgoing,200000.0,True,1,2014-11-07,2014-11-06,-200000.0
GroupLoan,Incoming,10000.0,True,3,2014-11-17,2014-11-14,-190000.0
GroupLoan,Incoming,10000.0,True,3,2015-01-12,2015-01-09,-180000.0
GroupLoan,Incoming,20000.0,True,4,2015-01-20,2015-01-16,-160000.0
GroupLoan,Incoming,10000.0,True,5,2015-02-04,2015-01-30,-150000.0
